YYYYMMDD,HH,NO2
20160119,6,51.79
20160119,7,52.97
20160119,8,64.1
20160119,9,74.7
20160119,10,71.27
20160119,11,68.15
20160119,12,65.96
20160119,13,49.77
20160119,14,61.1
20160119,15,61.19
20160119,16,63.66
20160119,17,67.95
20160119,18,68.71
20160119,19,71.44
20160119,20,74.89
20160119,21,74.48
20160119,22,73.23
20160119,23,70.4
20160120,0,69.85
20160120,1,66.82
20160120,2,63.38
20160120,3,60.64
20160120,4,58.9
20160120,5,57.71
20160120,6,54.05
20160120,7,56.1
20160120,8,57.17
20160120,9,62.57
20160120,10,61.48
20160120,11,64.95
20160120,12,67.73
20160120,13,63.6
20160120,14,58.67
20160120,15,29.01
20160120,16,57.78
20160120,17,68.33
20160120,18,77.89
20160120,19,77.71
20160120,20,82.89
20160120,21,82.95
20160120,22,75.91
20160120,23,75.77
20160121,0,82.26
20160121,1,73.42
20160121,2,69.4
20160121,3,62.77
20160121,4,54.22
20160121,5,50.86
20160121,6,54.07
20160121,7,59.29
20160121,8,62.27
20160121,9,63.79
20160121,10,57.58
20160121,11,52.09
20160121,12,51.42
20160121,13,48.22
20160121,14,46.64
20160121,15,47.05
20160121,16,50.02
20160121,17,53.41
20160121,18,61.18
20160121,19,62.74
20160121,20,62.62
20160121,21,58.63
20160121,22,56.72
20160121,23,54.99
20160122,0,53.8
20160122,1,55.15
20160122,2,53.79
20160122,3,51.69
20160122,4,49.8
20160122,5,48.09
20160122,6,46.01
20160122,7,46.87
20160122,8,46.65
20160122,9,47.97
20160122,10,42.43
20160122,11,38.18
20160122,12,37.39
20160122,13,41.29
20160122,14,45.49
20160122,15,48.18
20160122,16,50.85
20160122,17,54.08
20160122,18,57.47
20160122,19,58.32
20160122,20,58.97
20160122,21,50.29
20160122,22,43.15
20160122,23,41.08
20160123,0,34.28
20160123,1,31.29
20160123,2,31.88
20160123,3,34.41
20160123,4,37.08
20160123,5,37.12
20160123,6,38.61
20160123,7,38.67
20160123,8,44.16
20160123,9,45.61
20160123,10,44.78
20160123,11,44.1
20160123,12,38.01
20160123,13,31.51
20160123,14,29.68
20160123,15,35.32
20160123,16,34.4
20160123,17,37.65
20160123,18,45.4
20160123,19,34.16
20160123,20,26.07
20160123,21,18.61
20160123,22,30.67
20160123,23,20.52
20160124,0,14.33
20160124,1,20.43
20160124,2,17.03
20160124,3,15.27
20160124,4,14.26
20160124,5,12.35
20160124,6,11.3
20160124,7,10.7
20160124,8,12.25
20160124,9,14.45
20160124,10,15.44
20160124,11,16.64
20160124,12,18.21
20160124,13,20.5
20160124,14,21.87
20160124,15,23.29
20160124,16,23.7
20160124,17,25.54
20160124,18,25.93
20160124,19,24.4
20160124,20,23.38
20160124,21,24.53
20160124,22,24.81
20160124,23,24.17
20160125,0,23.29
20160125,1,25.25
20160125,2,26.31
20160125,3,30.68
20160125,4,31.46
20160125,5,31.05
20160125,6,28.42
20160125,7,29.77
20160125,8,36.17
20160125,9,39.78
20160125,10,38.53
20160125,11,36.32
20160125,12,26.94
20160125,13,22.66
20160125,14,20.18
20160125,15,24.2
20160125,16,28.22
20160125,17,38.3
20160125,18,56.67
20160125,19,52.48
20160125,20,39.86
20160125,21,34.06
20160125,22,34.83
20160125,23,32.1
20160126,0,27.09
20160126,1,21.6
20160126,2,15.53
20160126,3,10.29
20160126,4,14.18
20160126,5,13.12
20160126,6,15.47
20160126,7,25.88
20160126,8,36.47
20160126,9,48.43
20160126,10,42.28
20160126,11,34.76
20160126,12,32.93
20160126,13,32.88
20160126,14,23.8
20160126,15,22.19
20160126,16,25.33
20160126,17,22.53
20160126,18,24.96
20160126,19,21.32
20160126,20,16.18
20160126,21,13.45
20160126,22,13.64
20160126,23,13.78
20160127,0,10.8
20160127,1,7.6
20160127,2,6.09
20160127,3,4.64
20160127,4,6.59
20160127,5,5.94
20160127,6,6.08
20160127,7,9.59
20160127,8,14.83
20160127,9,21.66
20160127,10,25.02
20160127,11,18.47
20160127,12,16.82
20160127,13,14.77
20160127,14,14.64
20160127,15,14.79
20160127,16,16.82
20160127,17,16.69
20160127,18,22.76
20160127,19,20.93
20160127,20,17.24
20160127,21,14.41
20160127,22,12.91
20160127,23,12.61
20160128,0,10.01
20160128,1,8.51
20160128,2,8.55
20160128,3,7.8
20160128,4,10.6
20160128,5,7.85
20160128,6,9.34
20160128,7,20.4
20160128,8,38.05
20160128,9,50.74
20160128,10,54.38
20160128,11,49.5
20160128,12,32.96
20160128,13,16.03
20160128,14,15.7
20160128,15,15.92
20160128,16,18.67
20160128,17,23.28
20160128,18,30.08
20160128,19,42.36
20160128,20,41.36
20160128,21,42.62
20160128,22,37.82
20160128,23,35.48
20160129,0,33.4
20160129,1,23.84
20160129,2,19.28
20160129,3,14.43
20160129,4,11.1
20160129,5,9.27
20160129,6,9.77
20160129,7,13.0
20160129,8,19.01
20160129,9,21.02
20160129,10,21.54
20160129,11,19.01
20160129,12,19.99
20160129,13,20.53
20160129,14,19.16
20160129,15,21.38
20160129,16,20.11
20160129,17,21.61
20160129,18,22.29
20160129,19,21.65
20160129,20,19.74
20160129,21,15.66
20160129,22,12.8
20160129,23,11.87
20160130,0,10.39
20160130,1,10.31
20160130,2,8.55
20160130,3,7.44
20160130,4,6.34
20160130,5,6.24
20160130,6,5.43
20160130,7,5.45
20160130,8,5.9
20160130,9,8.39
20160130,10,10.81
20160130,11,14.73
20160130,12,16.69
20160130,13,16.0
20160130,14,20.13
20160130,15,16.91
20160130,16,22.48
20160130,17,18.42
20160130,18,17.67
20160130,19,21.43
20160130,20,12.9
20160130,21,14.07
20160130,22,17.87
20160130,23,10.73
20160131,0,8.34
20160131,1,7.55
20160131,2,6.81
20160131,3,5.84
20160131,4,5.9
20160131,5,6.68
20160131,6,7.29
20160131,7,12.35
20160131,8,14.87
20160131,9,16.11
20160131,10,14.72
20160131,11,18.65
20160131,12,15.07
20160131,13,11.11
20160131,14,15.89
20160131,15,19.69
20160131,16,18.19
20160131,17,26.63
20160131,18,32.89
20160131,19,25.39
20160131,20,24.21
20160131,21,22.0
20160131,22,17.19
20160131,23,12.59
20160201,0,24.13
20160201,1,13.89
20160201,2,9.99
20160201,3,10.39
20160201,4,11.5
20160201,5,11.76
20160201,6,11.13
20160201,7,13.94
20160201,8,27.82
20160201,9,22.78
20160201,10,20.32
20160201,11,16.71
20160201,12,16.2
20160201,13,12.06
20160201,14,11.83
20160201,15,13.14
20160201,16,15.22
20160201,17,13.97
20160201,18,14.68
20160201,19,13.68
20160201,20,11.01
20160201,21,9.13
20160201,22,7.69
20160201,23,7.4
20160202,0,6.74
20160202,1,7.48
20160202,2,10.02
20160202,3,7.29
20160202,4,8.77
20160202,5,8.81
20160202,6,9.01
20160202,7,15.9
20160202,8,22.9
20160202,9,26.91
20160202,10,23.24
20160202,11,20.55
20160202,12,17.12
20160202,13,18.85
20160202,14,11.3
20160202,15,19.89
20160202,16,16.05
20160202,17,21.53
20160202,18,25.88
20160202,19,28.79
20160202,20,15.59
20160202,21,11.48
20160202,22,9.7
20160202,23,10.32
20160203,0,13.43
20160203,1,10.68
20160203,2,8.91
20160203,3,13.89
20160203,4,15.09
20160203,5,16.18
20160203,6,18.68
20160203,7,20.71
20160203,8,34.54
20160203,9,45.71
20160203,10,32.96
20160203,11,19.37
20160203,12,14.23
20160203,13,15.9
20160203,14,18.31
20160203,15,16.72
20160203,16,17.03
20160203,17,20.58
20160203,18,27.64
20160203,19,17.81
20160203,20,18.9
20160203,21,22.21
20160203,22,23.1
20160203,23,21.63
20160204,0,15.09
20160204,1,10.61
20160204,2,15.78
20160204,3,15.3
20160204,4,21.07
20160204,5,27.32
20160204,6,25.9
20160204,7,34.28
20160204,8,35.88
20160204,9,39.37
20160204,10,33.19
20160204,11,31.65
20160204,12,28.69
20160204,13,37.52
20160204,14,27.93
20160204,15,23.5
20160204,16,24.18
20160204,17,25.7
20160204,18,37.57
20160204,19,31.52
20160204,20,28.53
20160204,21,19.73
20160204,22,31.02
20160204,23,44.7
20160205,0,39.36
20160205,1,38.5
20160205,2,33.55
20160205,3,35.57
20160205,4,33.1
20160205,5,22.18
20160205,6,32.17
20160205,7,44.18
20160205,8,50.6
20160205,9,41.1
20160205,10,34.44
20160205,11,29.99
20160205,12,28.94
20160205,13,29.66
20160205,14,30.2
20160205,15,24.34
20160205,16,29.47
20160205,17,27.92
20160205,18,27.0
20160205,19,32.89
20160205,20,20.05
20160205,21,26.23
20160205,22,27.5
20160205,23,24.13
20160206,0,17.42
20160206,1,15.88
20160206,2,13.2
20160206,3,11.37
20160206,4,10.24
20160206,5,14.7
20160206,6,12.13
20160206,7,11.58
20160206,8,13.78
20160206,9,19.41
20160206,10,19.31
20160206,11,17.17
20160206,12,16.65
20160206,13,14.6
20160206,14,10.88
20160206,15,14.84
20160206,16,18.89
20160206,17,16.8
20160206,18,16.19
20160206,19,20.37
20160206,20,16.44
20160206,21,14.06
20160206,22,13.92
20160206,23,16.26
20160207,0,13.12
20160207,1,11.58
20160207,2,8.56
20160207,3,6.11
20160207,4,5.66
20160207,5,5.55
20160207,6,4.92
20160207,7,5.77
20160207,8,5.45
20160207,9,9.01
20160207,10,10.39
20160207,11,8.49
20160207,12,9.35
20160207,13,8.1
20160207,14,7.56
20160207,15,7.53
20160207,16,8.78
20160207,17,10.36
20160207,18,11.67
20160207,19,12.55
20160207,20,13.29
20160207,21,11.15
20160207,22,11.4
20160207,23,8.64
20160208,0,9.41
20160208,1,7.98
20160208,2,6.11
20160208,3,5.14
20160208,4,3.79
20160208,5,4.24
20160208,6,5.84
20160208,7,12.34
20160208,8,12.97
20160208,9,14.98
20160208,10,15.38
20160208,11,11.84
20160208,12,11.51
20160208,13,10.54
20160208,14,11.91
20160208,15,12.04
20160208,16,11.79
20160208,17,12.66
20160208,18,13.04
20160208,19,10.14
20160208,20,7.7
20160208,21,8.68
20160208,22,8.53
20160208,23,9.0
20160209,0,7.86
20160209,1,5.47
20160209,2,5.74
20160209,3,5.86
20160209,4,4.28
20160209,5,5.5
20160209,6,4.98
20160209,7,11.35
20160209,8,17.47
20160209,9,25.49
20160209,10,31.54
20160209,11,33.75
20160209,12,30.25
20160209,13,23.51
20160209,14,26.84
20160209,15,25.64
20160209,16,15.12
20160209,17,21.38
20160209,18,38.86
20160209,19,25.79
20160209,20,29.72
20160209,21,25.54
20160209,22,27.62
20160209,23,31.99
20160210,0,26.12
20160210,1,10.2
20160210,2,17.65
20160210,3,13.9
20160210,4,7.05
20160210,5,7.65
20160210,6,10.55
20160210,7,22.76
20160210,8,42.42
20160210,9,57.6
20160210,10,44.48
20160210,11,30.45
20160210,12,22.67
20160210,13,19.85
20160210,14,12.34
20160210,15,16.49
20160210,16,20.64
20160210,17,24.79
20160210,18,26.29
20160210,19,22.99
20160210,20,21.75
20160210,21,19.67
20160210,22,14.33
20160210,23,10.93
20160211,0,14.58
20160211,1,14.76
20160211,2,29.57
20160211,3,33.76
20160211,4,20.48
20160211,5,23.48
20160211,6,33.43
20160211,7,53.61
20160211,8,64.32
20160211,9,67.62
20160211,10,61.13
20160211,11,51.02
20160211,12,47.52
20160211,13,44.02
20160211,14,40.52
20160211,15,37.02
20160211,16,33.52
20160211,17,30.02
20160211,18,26.49
20160211,19,48.11
20160211,20,74.29
20160211,21,75.69
20160211,22,74.15
20160211,23,64.47
20160212,0,55.2
20160212,1,60.81
20160212,2,57.42
20160212,3,53.08
20160212,4,47.94
20160212,5,43.87
20160212,6,35.0
20160212,7,34.23
20160212,8,36.94
20160212,9,38.36
20160212,10,35.36
20160212,11,28.3
20160212,12,25.7
20160212,13,25.84
20160212,14,25.62
20160212,15,19.96
20160212,16,23.5
20160212,17,33.29
20160212,18,52.72
20160212,19,60.44
20160212,20,69.05
20160212,21,67.53
20160212,22,65.23
20160212,23,59.06
20160213,0,56.1
20160213,1,44.38
20160213,2,42.25
20160213,3,41.39
20160213,4,31.4
20160213,5,31.02
20160213,6,31.05
20160213,7,28.94
20160213,8,34.06
20160213,9,32.11
20160213,10,26.27
20160213,11,24.44
20160213,12,20.93
20160213,13,22.86
